Card,ASP,Type,Comm Spot,Comm OnDemand,Sec Spot,Sec OnDemand,PCIe,NVIDIA CUDA Cores,Boost Clock,Base Clock,Standard Memory Config,Memory Bandwidth (GB/s),Idle Power,Power,FP32 TFLOP calc,$/TFLOP,TFLOP/W
RTX 5090,"$3,000",Consumer,$0.40,$0.89,$0.40,$0.89,5,21760,2.41,2.01,32 GDDR7,1800,20,575,104.88,$29,0.1824
RTX 4090,"$2,600",Consumer,$0.20,$0.34,$0.35,$0.69,4,16384,2.52,2.23,24 GDDR6X,1008,19,450,82.58,$31,0.1835
RTX 3090,$700,Consumer,$0.11,$0.22,$0.22,$0.43,4,10496,1.7,1.4,24 GDDR6X,936,25,350,35.69,$20,0.1020
H100 SXM,"$26,000",Data Center,$1.50,$2.69,$1.75,$2.99,SXM5,16896,1.98,1.62,80 HBM3,3350,50,700,66.91,$389,0.0956
H100 PCIe,"$26,000",Data Center,,,$1.25,$2.39,5,14592,1.755,1.32,80 HBM2e,2000,25,350,51.22,$508,0.1463
H200 SXM,"$30,000",Data Center,,,$1.75,$4.00,SXM5,16896,1.98,1.62,141 HBM3e,4800,50,1000,66.91,$448,0.0669
NVIDIA H100 NVL,"$26,000",Data Center,,,$1.65,$2.79,5,18432,1.98,0,94 HBM3,3900,30,400,72.99,$356,0.1825
L4,"$3,300",Data Center,,,$0.22,$0.43,4,7680,2.04,0,24 GDDR6,300,10,72,31.33,$105,0.4352
L40S,"$7,000",Data Center,$0.40,$0.79,$0.43,$0.86,4,18176,2.52,1.11,48 GDDR6 w/ ECC,864,10,350,91.61,$76,0.2617
A100 40GB PCIe,"$8,000",Data Center,,,,,4,6912,1.41,0.765,40 HBM2,1555,25,250,19.49,$410,0.0780
A40,"$6,000",Data Center,,,$0.28,$0.44,4,10752,1.74,1.305,48 GDDR6 w/ ECC,696,10,300,37.42,$160,0.1247
RTX 6000 Ada,"$6,350",Workstation,,,$0.39,$0.77,4,18176,2.535,0.915,48 GDDR6,960,15,300,92.15,$69,0.3072
RTX A6000,"$3,200",Workstation,$0.25,$0.33,$0.33,$0.49,4,10752,1.8,1.41,48 GDDR6,768,15,300,38.71,$83,0.1290
RTX A5000,"$1,000",Workstation,$0.11,$0.16,$0.14,$0.29,4,8192,1.695,1.17,24 GDDR6,768,15,230,27.77,$36,0.1207
RTX 4000 Ada,"$1,250",Workstation,$0.10,$0.20,$0.19,$0.38,4,6144,2.175,1.56,20 GDDR6,400,10,130,26.73,$47,0.2056
RTX A4000,$700,Workstation,$0.09,$0.17,$0.16,$0.32,4,6144,1.56,0.735,16 GDDR6,448,10,140,19.17,$37,0.1369
